user_id,policy,hit_rate,precision,recall,f1,latency_saved_ms,latency_saved_pct
13_F,GraphOnly,0.956,0.5007,0.8258,0.6234,2068.6,74.87
13_F,Graph+Confidence,0.946,0.5619,0.8564,0.6786,2053.84,74.33
13_F,GraphMindRL,0.9441,0.5622,0.8289,0.67,2051.16,74.24
13_F,RLAdaptiveEnsemble,0.9432,0.4742,0.8185,0.6005,2049.79,74.19
17_F,Random,0.8931,0.1703,0.5065,0.2549,2199.84,79.62
17_F,LRU,0.9566,0.5047,0.7554,0.6051,2296.11,83.1
17_F,LFU,0.9566,0.3602,0.7354,0.4836,2296.11,83.1
17_F,Frequency,0.9595,0.3408,0.721,0.4628,2300.72,83.27
17_F,RecencyFrequency,0.9595,0.3648,0.7417,0.4891,2300.72,83.27
17_F,Markov-1,0.9697,0.6709,0.8965,0.7674,2314.84,83.78
17_F,Markov-2,0.9639,0.6902,0.891,0.7779,2306.73,83.49
17_F,VariableOrderMarkov,0.9624,0.3789,0.7531,0.5042,2305.28,83.43
17_F,ContextMarkov,0.948,0.3533,0.732,0.4766,2282.77,82.62
17_F,ClusterMarkov,0.9465,0.3715,0.7392,0.4945,2280.65,82.54
17_F,GlobalMarkov2,0.9552,0.6366,0.8824,0.7396,2293.33,83.0
17_F,GraphOnly,0.9697,0.6709,0.8965,0.7674,2314.84,83.78
17_F,Graph+Confidence,0.9697,0.7048,0.9046,0.7923,2315.51,83.8
17_F,GraphMindRL,0.9653,0.7331,0.8992,0.8077,2309.17,83.57
17_F,RLAdaptiveEnsemble,0.9494,0.3659,0.7426,0.4902,2285.26,82.71
29_F,Random,0.8807,0.17,0.506,0.2545,1639.74,59.35
29_F,LRU,0.9785,0.5692,0.8665,0.687,1780.71,64.45
29_F,LFU,0.9785,0.6894,0.916,0.7867,1780.71,64.45
29_F,Frequency,0.9785,0.6665,0.909,0.7691,1780.71,64.45
29_F,RecencyFrequency,0.9785,0.6814,0.9145,0.7809,1780.71,64.45
29_F,Markov-1,0.9834,0.8556,0.9586,0.9042,1788.11,64.72
29_F,Markov-2,0.9785,0.8521,0.9511,0.8989,1780.71,64.45
29_F,VariableOrderMarkov,0.9609,0.8062,0.9541,0.8739,1755.3,63.53
29_F,ContextMarkov,0.9619,0.7668,0.9427,0.8457,1758.03,63.63
29_F,ClusterMarkov,0.9413,0.8105,0.9481,0.8739,1726.72,62.49
29_F,GlobalMarkov2,0.9677,0.817,0.9473,0.8773,1765.37,63.89
29_F,GraphOnly,0.9834,0.8556,0.9586,0.9042,1788.11,64.72
29_F,Graph+Confidence,0.9795,0.8648,0.9541,0.9072,1782.4,64.51
29_F,GraphMindRL,0.9785,0.8706,0.9481,0.9077,1780.71,64.45
